UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WORK,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
14EW00001,H8468,,.,1,82,e13,W,101,1126,Preg,,1,30
14EW00002,H8491,,HAIRY,1,82,e14,W,100,1126,Preg,,1,30
14EW00003,H8492,,FEVR.INCR.RR.,1,86,e13,W,105,1126,Preg,,1,30
14EW00004,H8495,,NICE LAMB,1,100,e14,W,131,1126,Preg,,1,30
14EW00005,H8508,,.,1,95,e13,W,118,1126,Preg,,1,30
14EW00006,H8511,,NICE LAMB,1,76,e14,W,114,1126,Preg,,1,30
14EW00007,H8514,,.,1,82,e12,W,100,1126,Preg,,1,30
14EW00008,H8516,,.,1,84,e12,W,102,1126,Preg,,1,30
14EW00009,H8519,,HAIRY,1,82,e12,W,98,1126,Preg,,1,30
14EW00010,H8524,,.,1,77,e12,W,98,1126,Preg,,1,30
14EW00350,Z2476,,.,1,83,1,W,94,1126,Open,,1,CM
14EW00351,Z2491,,NICE LAMB,3,96,BL,W,98,1126,Preg,,9,BL
14EW00352,Z2530,,.,1,92,2,W,106,1126,Preg,,1,CM
14EW00353,Z2573,,ADR.Slow,1,100,e11,W,120,1126,Preg,,6,97
14EW00354,Z2584,,NICE LAMB,1,118,e11,W,132,1126,Preg,,6,97
14EW00355,Z2592,,2ND BLKNECK,1,84,1,W,,,Open,,1,CM
14EW00356,Z2639,,.,1,87,V2,W,107,1126,Preg,,4,00
14EW00357,Z2640,,.,1,87,V2,W,111,1126,Preg,,4,00
14EW00358,Z2642,,Infection,1,86,4,W,99,1126,Open,,2,CM
14EW00359,Z2670,,.,1,82,3,W,90,1126,Open,,2,CM
