UID,ETAG,LINE,RMK,IDX,PD,CUWT,BPEN,BRAND,OCT31,DEC11
95EW00001,A1810,73,,103,1,80,-fl,blue,88,0
95EW00002,A1814,73,,101,1,87,-fl,blue,97,0
95EW00003,A1818,82,,103,1,94,e.7,blue,101,109
95EW00004,A1803,73,,105,1,100,-fl,blue,118,0
95EW00005,A1805,73,,97,1,80,-fl,blue,87,0
95EW00006,A1809,82,,97,1,94,e.8,blue,96,99
95EW00007,A1831,73,,106,1,83,-fl,blue,94,0
95EW00008,A1833,82,,98,1,100,e.7,blue,101,99
95EW00009,A1832,73,,103,1,75,-fl,blue,84,0
95EW00010,A1839,73,,98,1,74,-fl,blue,82,0
95EW00669,Z3234,97,1EARTAG   mcf,119,1,127,974,blue,128,141
95EW00670,Z3243,97,ENTR      mcf,110,1,128,973,blue,135,150
95EW00671,Z3252,97,,100,1,96,973,blue,99,109
95EW00672,Z3260,97,,117,1,112,973,blue,119,130
95EW00673,Z3264,97,          mcf,122,1,114,973,blue,121,135
95EW00674,Z3268,97,,99,1,95,973,blue,107,122
95EW00675,Z3281,97,ENTR,97,1,97,974,blue,108,125
95EW00676,Z3282,97,          mcf,102,1,86,973,blue,98,112
95EW00677,Z3292,97,          mcf,107,1,112,974,blue,110,119
95EW00678,Z3277,97,1TAG,118,1,107,973,blue,120,134
