UID,ETAG,LINE,RMK,IDX,PD,MASTITRT,CUWT,BPEN,BRAND,OCT31,DEC14,IDZ65,PREG
01EW00001,A8157,00,NICE,0,1,none,106,e62,purple,104,118,0,1
01EW00002,A8161,00,,0,1,none,106,e63,purple,113,120,0,1
01EW00003,A8163,00,"1/4S,BUM,SAVE",0,1,none,76,e64,purple,86,97,0,1
01EW00004,A8164,00,,0,1,none,107,e65,purple,111,121,0,1
01EW00005,A8167,00,"1/4F,BUM,SAVE",0,1,none,68,e66,purple,74,85,0,1
01EW00006,A8169,00,,0,1,none,110,e62,purple,114,123,0,1
01EW00007,A8172,84,HAIRY,108,1,none,110,e62,purple,112,117,0,1
01EW00008,A8173,00,,0,1,none,74,e63,purple,72,87,0,1
01EW00009,A8174,00,,0,1,none,76,e64,purple,77,80,0,1
01EW00010,A8178,00,,0,1,none,90,e65,purple,98,109,0,1
01EW00727,Z7252,00,4TEATS,0,1,none,105,e65,purple,114,118,0,1
01EW00728,Z7253,00,NICE,0,1,none,99,e66,purple,113,115,0,1
01EW00729,Z7331,00,,0,1,none,91,e63,purple,100,106,0,1
01EW00730,Z7333,00,,0,1,none,111,e64,purple,113,118,0,1
01EW00731,Z7335,00,,0,1,none,92,e65,purple,104,115,0,1
01EW00732,Z7337,00,,0,1,none,94,e66,purple,101,119,0,1
01EW00733,Z7338,00,,0,1,none,105,e63,purple,107,111,0,1
01EW00734,Z7342,00,,0,1,none,94,e65,purple,103,123,0,1
01EW00735,Z7343,00,,0,1,none,80,e66,purple,90,102,0,1
01EW00736,Z7347,00,"1/4S,BUM,SAVE",0,1,none,63,e65,purple,66,77,0,1
