UID,ETAG,LINE,RMK,PD,CUWT,BPEN,WT_IN,WDAY_IN,WT_OUT,WDAY_OUT,PREGTEST,IDZ65,CLR,STM
13EW00001,H7946,,.,1,113,e9,,,128,1127,Preg,,1,30
13EW00002,H7947,,.,1,82,e9,,,101,1127,Preg,,1,30
13EW00003,H7954,,.,1,99,e8,,,128,1127,Preg,,1,30
13EW00004,H7958,,.,1,102,e8,,,133,1127,Preg,,1,30
13EW00005,H7973,,.,1,91,e9,,,112,1127,Preg,,1,30
13EW00006,H7986,,.,1,94,e8,,,117,1127,Preg,,1,30
13EW00007,H7990,,NICE.POLY,2,104,e9,,,118,1127,Preg,,1,30
13EW00008,H7991,,.,2,112,e9,,,115,1127,Preg,,1,30
13EW00009,H8005,,.,1,107,e9,,,127,1127,Preg,,1,30
13EW00010,H8032,,.,3,114,BRT,,,114,1127,Open,,1,30
13EW00311,Z2056,,.,1,89,V,,,103,1127,Preg,,5,00
13EW00312,Z2120,,H.P.,1,93,BRT,,,98,1127,Open,,1,33
13EW00313,Z2177,,H.,1,89,BRT,,,100,1127,Preg,,1,33
13EW00314,Z2188,,.,1,84,BRT,,,95,1127,Preg,,1,33
13EW00315,Z2222,,HAIRY,1,73,BRT,,,87,1127,,,1,33
13EW00316,Z2224,,H.,1,88,BRT,,,98,1127,Open,,1,33
13EW00317,Z2231,,HAIRY,1,84,BRT,,,89,1127,Open,,1,33
13EW00318,Z2233,,.,1,87,BRT,,,95,1127,Open,,1,33
13EW00319,Z2240,,.,1,78,BRT,,,84,1127,Open,,1,33
13EW00320,Z2249,,HAIRY,1,84,BRT,,,81,1127,Open,,1,33
